variable,years,short_desc,long_desc,sources,category,plaintext_cite,bibtex_cite,plaintext_cite2,bibtex_cite2,plaintext_cite3,bibtex_cite3,plaintext_cite4,bibtex_cite4
custodial_trust_act,1988-2017,Establishes a legal structure for organizing the ownership and management of property for its preservation on behalf of specified individuals,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
debt_management_services_2011,2012-2017,Governing national administration  of debt counseling and management in a fair and effective way (2011 update),0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
debt_management_services_act_2005,2006-2017,Governing national administration  of debt counseling and management in a fair and effective way (2005),0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
deceptive_trade_practices_act_1,1968-2017,Prohibit unfair or deceptive trade practices and unfair competition,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
disclaimer_of_property_interests,2000-2017,"Allow every sort of disclaimer, including those that are useful for tax planning purposes",0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
division_of_income_for_tax_purpo,1950-2017,Divides income between states for tax purposes when living/working in multiple states,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
dormant_mineral_interests_act_m,1987-2017,Ownership of real estate means ownership of interests and rights in an actual piece of geography,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
emergency_volunteer_health_pract,2007-2017,Allows state governments during a declared emergency to give reciprocity to other states' licenses on emergency service providers,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
eminent_domain_code,1985-2017,Regulating condemnation of property on behalf of private and public entities,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
entity_transactions_act_model,2007-2017,"Allow conversion of one kind of business organization to another, or the merger of two or more business organizations into one organization",0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
estate_tax_apportionment_and_pro,1972-2017,Regulated apportionment of assets of the deceased,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
exemptions_act_model,1982-2017,Bankruptcy law,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
fiduciary_access_to_digital_asse,2014-2017,Extends power of fiduciary,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
foreign_money_claims_act,1989-2017,Provides the rules for fair conversions of foreign money judgments into dollar amounts,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
foreign_money_judgments_recognit,1963-2017,Provides for enforcement of a state court judgment in another state to implement the full faith and credit clause of the U.S. constitution,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
foreign_country_money_judgments,1963-2017,Makes it clear that a judgment entitled to full faith and credit under the U.S. constitution is not enforceable under this act,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
fraudulent_transfer_act_1984,1985-2017,Classifies a category of transfers as fraudulent to creditors and provides creditors with a remedy for such transfers,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
information_practices_code,1988-2017,Provides a uniform statutory approach to privacy and freedom of information,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
insurable_interest_amendment_to,2011-2017,Addresses purchase of life insurance trusts,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
intestacy_wills_and_donative_t,1991-2017,Provides instruction on transfer of property at death,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
land_sales_practices,1967-2017,Regulation on promotional sale of land,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
limited_cooperative_association,2008-2017,Addresses the cooperative form of business,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
limited_liability_company_1995,1997-2017,Permits the formation of limited liability companies (1995) (1996),0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
limited_liability_company_2006,2008-2017,"Permits the formation of limited liability companies (2006) (last
amended 2013)",0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
limited_partnership_1976,1979-2017,Permits the formation of limited liability companies (1976),0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
limited_partnership_act_1916,1968-2017,Regulates business partnerships in the U.S. (1916),0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
limited_partnership_act_2001,2003-2017,"Regulates business partnerships in the U.S. (2001)
(last amended 2013)",0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
management_of_institutional_fund,1973-2017,Provides guidance on investment decisions and endowment expenditures,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
model_real_estate_time_share_act,1983-2017,"Covers creation, management, and termination of time shares",0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
